Condition,RT,Total time
Travel time = 2,0.0833239555359,0.0833270549774
Wait_completed,10.0029659271,14.1213490963
Travel time = 1,16.1438651085,16.1438679695
Correct_cog,2.03448605537,22.2076671124
Correct_cog,4.1017100811,24.2748908997
Correct_cog,6.11984610558,26.2930269241
Correct_cog,8.15314292908,28.3263239861
Correct_cog,10.1709799767,30.3441610336
Correct_cog,12.2210540771,32.3942360878
Cognitive_completed,12.2210609913,32.3942389488
Travel time = 5,34.4156579971,34.4156620502
Wait_completed,10.0034770966,48.4492409229
Travel time = 9,50.472340107,50.472342968
Wait_completed,10.0030910969,64.5038630962
Travel time = 10,66.5260379314,66.5260410309
Wait_completed,10.0196130276,80.5758221149
Travel time = 10,82.5937490463,82.5937519073
Correct_cog,2.01745390892,88.6453449726
Correct_cog,4.05159211159,90.6794829369
Incorr_miss_cog,6.06965899467,92.6975500584
Incorr_miss_cog,8.11953902245,94.7474300861
Incorr_miss_cog,10.1701219082,96.7980129719
Traveling,10.170126915,96.7980151176
Travel time = 6,106.818821907,106.818825006
Quit_wait,0.668866157532,111.520160913
Traveling,0.668871164322,111.520164013
Travel time = 9,117.540843964,117.540847063
Incorr_miss_cog,2.03470683098,123.606827974
Incorr_miss_cog,4.05205702782,125.624177933
Correct_cog,6.10269594193,127.674817085
Incorr_miss_cog,8.15316581726,129.725286961
Traveling,8.15317201614,129.725289106
Travel time = 5,138.745965004,138.745969057
Quit_cog,2.01828193665,144.797135115
Traveling,2.01830196381,144.797137976
Travel time = 3,149.819056988,149.819061041
Wait_completed,10.0033349991,163.852710009
Travel time = 8,165.875359058,165.875361919
Incorr_miss_cog,2.03273892403,171.938040018
Incorr_miss_cog,4.06672286987,173.972023964
Incorr_miss_cog,6.11885404587,176.024153948
Traveling,6.11885905266,176.024157047
Travel time = 1,184.044295073,184.044297934
Quit_cog,2.01848101616,190.095151901
Traveling,2.01848697662,190.095155001
Travel time = 6,191.117913008,191.117917061
Wait_completed,10.0040690899,205.149724007
Travel time = 6,207.166990995,207.166994095
Correct_cog,2.01814389229,213.219445944
Correct_cog,4.03535294533,215.236654997
Correct_cog,6.06820511818,217.269507885
Correct_cog,8.10187292099,219.303174019
Correct_cog,10.1534290314,221.354731083
Correct_cog,12.2039859295,223.405287981
Cognitive_completed,12.20399189,223.40529108
Travel time = 1,225.426055908,225.426059008
Correct_cog,2.05131793022,231.508260012
Correct_cog,4.08399486542,233.540936947
Correct_cog,6.1348130703,235.591756105
Correct_cog,8.1531560421,237.610097885
Correct_cog,10.1860370636,239.642980099
Correct_cog,12.2046630383,241.66160512
Cognitive_completed,12.2046689987,241.661607981
Travel time = 10,243.681807041,243.681811094
Correct_cog,2.05055308342,249.763439894
Correct_cog,4.1014111042,251.814297915
Correct_cog,6.11940407753,253.832290888
Correct_cog,8.13676190376,255.849648952
Correct_cog,10.1701090336,257.882996082
Correct_cog,12.2038710117,259.916759014
Cognitive_completed,12.2038769722,259.916760921
Total reward =,2.5
