Condition,RT,Total time
"Begin block, ITI = 3",5.05272507668,5.0527279377
"Start trial, exp rwd = $0.25",0,5.05285310745
Correct,4.08658695221,9.13943195343
Correct,6.15406703949,11.2069120407
Correct,8.22133016586,13.2741749287
Correct,10.2551140785,15.3079590797
Correct,12.2902340889,17.3430790901
"Completed, rwd = $0.25",12.2902419567,17.3430840969
"Start trial, exp rwd = $0.05",0,22.3780019283
Quit,4.10331583023,26.4813079834
Traveling,4.10332202911,26.4813110828
"Start trial, exp rwd = $0.05",0,29.4987819195
Quit,4.10243201256,33.6012079716
Traveling,4.10244011879,33.601211071
"Start trial, exp rwd = $0.05",0,36.6180489063
Quit,4.07001805305,40.6880629063
Traveling,4.07002496719,40.6880669594
"Start trial, exp rwd = $0.15",0,43.7054510117
Correct,4.11976599693,47.8252089024
Correct,6.17154884338,49.8769919872
Correct,8.23848390579,51.9439270496
Correct,10.2723200321,53.9777629375
Correct,12.2897880077,55.9952309132
"Completed, rwd = $0.15",12.2897958755,55.9952349663
"Start trial, exp rwd = $0.05",0,61.0309519768
Quit,4.03600597382,65.0669519901
Traveling,4.03601408005,65.0669560432
"Start trial, exp rwd = $0.25",0,68.0853130817
Correct,4.10257911682,72.187887907
Correct,6.15345907211,74.2387669086
Correct,8.17177414894,76.2570829391
Correct,10.2219879627,78.3073000908
Correct,12.2904369831,80.3757460117
"Completed, rwd = $0.25",12.2904441357,80.3757500648
"Start trial, exp rwd = $0.25",0,85.4099969864
Correct,4.05232787132,89.4623219967
Correct,6.08842897415,91.4984230995
Correct,8.15508103371,93.5650761127
Correct,10.2068150043,95.6168091297
Correct,12.2732219696,97.6832170486
"Completed, rwd = $0.25",12.2732298374,97.6832211018
"Start trial, exp rwd = $0.05",0,102.719707966
Quit,4.06915402412,106.788854122
Traveling,4.06915998459,106.788856983
"Start trial, exp rwd = $0.05",0,109.805709124
Quit,4.03602814674,113.841728926
Traveling,4.03603601456,113.841735125
"Start trial, exp rwd = $0.15",0,116.859698057
Correct,4.0529050827,120.912599087
Correct,6.12063717842,122.980330944
Correct,8.13882517815,124.998518944
Correct,10.2062101364,127.065906048
Correct,12.2586910725,129.118385077
"Completed, rwd = $0.15",12.2586991787,129.118390083
"Start trial, exp rwd = $0.15",0,134.168134928
Correct,4.06803584099,138.236166
Correct,6.13750100136,140.305630922
Correct,8.17145991325,142.339591026
Correct,10.2391209602,144.40725112
Correct,12.257119894,146.425250053
"Completed, rwd = $0.15",12.2571268082,146.425254107
"Start trial, exp rwd = $0.05",0,151.461199999
Quit,4.08619093895,155.54738307
Traveling,4.08619689941,155.547385931
"Begin block, ITI = 8",163.615436077,163.615438938
"Start trial, exp rwd = $0.05",0,163.615458965
Quit,4.0710940361,167.686553001
Traveling,4.07109999657,167.686556101
"Start trial, exp rwd = $0.15",0,175.789433956
Correct,4.10283303261,179.892261028
Correct,6.1376490593,181.927076101
Correct,8.20590305328,183.995330095
Correct,10.2402369976,186.029665947
Correct,12.2553811073,188.044807911
"Completed, rwd = $0.15",12.2553889751,188.044812918
"Start trial, exp rwd = $0.25",0,198.084320068
Correct,4.06938505173,202.153697014
Correct,6.08730721474,204.171618938
Correct,8.1553580761,206.239670992
Correct,10.2227940559,208.307106018
Correct,12.256911993,210.341224909
"Completed, rwd = $0.25",12.2569200993,210.341228962
"Start trial, exp rwd = $0.25",0,220.378871918
Incorr_miss,4.06928801537,224.448152065
Correct,6.13797402382,226.516838074
Correct,8.15481209755,228.533677101
Correct,10.1898860931,230.568748951
Correct,12.2576429844,232.636507034
"Completed, rwd = $0.25",12.2576510906,232.636512995
"Start trial, exp rwd = $0.25",0,242.67354393
Correct,4.0700070858,246.743547916
Correct,6.0866920948,248.760232925
Correct,8.15508794785,250.828629017
Correct,10.2233979702,252.896939039
Correct,12.2729799747,254.946521044
"Completed, rwd = $0.25",12.2729868889,254.946525097
"Start trial, exp rwd = $0.05",0,264.984867096
Correct,4.08713889122,269.07200098
Correct,6.10360693932,271.088469028
Correct,8.15569591522,273.140558004
Correct,10.2234389782,275.208301067
Correct,12.2915349007,277.27639699
"Completed, rwd = $0.05",12.2915430069,277.276401043
"Start trial, exp rwd = $0.15",0,287.312966108
Correct,4.05305504799,291.366019011
Correct,6.08829402924,293.401257038
Correct,8.15500402451,295.467967033
Correct,10.1727161407,297.485678911
Correct,12.2409501076,299.553913116
"Completed, rwd = $0.15",12.2409570217,299.553916931
"Start trial, exp rwd = $0.05",0,309.591893911
Quit,4.051872015,313.643758059
Traveling,4.05187797546,313.64376092
"Begin block, ITI = 1",326.700660944,326.700664043
"Start trial, exp rwd = $0.05",0,326.700681925
Quit,4.03394603729,330.734628916
Traveling,4.03395199776,330.734632015
"Start trial, exp rwd = $0.05",0,331.752279043
Quit,4.05329489708,335.805570126
Traveling,4.05330085754,335.80557394
"Start trial, exp rwd = $0.15",0,336.821686029
Correct,4.0696978569,340.891376972
Correct,6.10449385643,342.926173925
Correct,8.17207789421,344.993757963
Correct,10.1888890266,347.010567904
Correct,12.2573339939,349.079011917
"Completed, rwd = $0.15",12.2573418617,349.07901907
"Start trial, exp rwd = $0.25",0,352.113423109
Correct,4.06986403465,356.183283091
Correct,6.12036299706,358.233778
Correct,8.18806600571,360.301481009
Correct,10.2052869797,362.318701982
Correct,12.2730491161,364.386464119
"Completed, rwd = $0.25",12.2730569839,364.386469126
"Start trial, exp rwd = $0.05",0,367.421334028
Quit,4.06951594353,371.490847111
Traveling,4.06952190399,371.490849972
"Start trial, exp rwd = $0.25",0,372.505949974
Correct,4.08757781982,376.593523979
Correct,6.12103295326,378.626979113
Correct,8.13823199272,380.644177914
Correct,10.2067399025,382.712686062
Correct,12.2404749393,384.746421099
"Completed, rwd = $0.25",12.2404828072,384.746426105
"Start trial, exp rwd = $0.25",0,387.781256914
Correct,4.08622407913,391.867478132
Correct,6.12101888657,393.902271986
Correct,8.18801903725,395.969274044
Correct,10.2065479755,397.987802029
Correct,12.2575409412,400.038794041
"Completed, rwd = $0.25",12.2575490475,400.038798094
"Start trial, exp rwd = $0.15",0,403.072744131
Correct,4.10253405571,407.175270081
Correct,6.1197450161,409.192481041
Correct,8.17090892792,411.243644953
Correct,10.2056059837,413.278342009
Correct,12.2734200954,415.346157074
"Completed, rwd = $0.15",12.2734279633,415.346161127
"Start trial, exp rwd = $0.15",0,418.380340099
Correct,4.05226588249,422.432599068
Correct,6.12099289894,424.501326084
Correct,8.15464091301,426.534974098
Correct,10.2219178677,428.602251053
Correct,12.2735347748,430.65386796
"Completed, rwd = $0.15",12.273542881,430.653872967
"Start trial, exp rwd = $0.15",0,433.687371016
Correct,4.10304784775,437.790412903
Correct,6.12111401558,439.808479071
Correct,8.17239499092,441.8597579
Correct,10.2401580811,443.927522898
Correct,12.2736740112,445.961038113
"Completed, rwd = $0.15",12.273681879,445.961043119
"Start trial, exp rwd = $0.25",0,448.995147943
Correct,4.10319209099,453.098334074
Correct,6.13702511787,455.132165909
Correct,8.17158293724,457.166723967
Correct,10.1894619465,459.184602022
Correct,12.2580440044,461.253185034
"Completed, rwd = $0.25",12.2580509186,461.253189087
"Start trial, exp rwd = $0.25",0,464.286890984
Correct,4.03579902649,468.322686911
Correct,6.10385489464,470.390743017
Correct,8.1386320591,472.425519943
Correct,10.2051408291,474.492028952
Correct,12.2407069206,476.527595043
"Completed, rwd = $0.25",12.2407150269,476.52760005
"Begin block, ITI = 5",484.612880945,484.612884045
"Start trial, exp rwd = $0.15",0,484.612900972
Correct,4.05405282974,488.666954994
Correct,6.10514593124,490.718048096
Correct,8.17267084122,492.785573006
Correct,10.1900548935,494.802957058
Correct,12.2568969727,496.869798899
"Completed, rwd = $0.15",12.2569048405,496.869803905
"Start trial, exp rwd = $0.25",0,503.906821966
Correct,4.10353112221,508.010345936
Correct,6.17132091522,510.078135967
Correct,8.20476794243,512.111582994
Correct,10.2220051289,514.128820896
Correct,12.2576770782,516.16449213
"Completed, rwd = $0.25",12.2576849461,516.164496899
"Start trial, exp rwd = $0.15",0,523.216511965
Quit,4.05292105675,527.269424915
Traveling,4.05292701721,527.269428015
"Start trial, exp rwd = $0.15",0,532.287830114
Correct,4.06983709335,536.357660055
Correct,6.08555006981,538.373373032
Correct,8.15547513962,540.443298101
Correct,10.190100193,542.477924109
Correct,12.2571601868,544.54498291
"Completed, rwd = $0.15",12.2571680546,544.544987917
"Start trial, exp rwd = $0.15",0,551.58138299
Correct,4.10361385345,555.684988976
Correct,6.1708779335,557.752254009
Correct,8.20442605019,559.785800934
Correct,10.222342968,561.80371809
Correct,12.2741429806,563.855518103
"Completed, rwd = $0.15",12.2741498947,563.855521917
"Start trial, exp rwd = $0.15",0,570.890904903
Correct,4.08614897728,574.977050066
Correct,6.12023806572,577.011138916
Correct,8.17166090012,579.062561989
Correct,10.1902470589,581.081147909
Correct,12.2569100857,583.147810936
"Completed, rwd = $0.15",12.2569169998,583.147815943
"Start trial, exp rwd = $0.15",0,590.18404603
Correct,4.08674693108,594.270785093
Correct,6.10451197624,596.2885499
Correct,8.17080783844,598.354846001
Correct,10.2059388161,600.389976978
Correct,12.2745277882,602.45856595
"Completed, rwd = $0.15",12.2745358944,602.458570957
"Start trial, exp rwd = $0.25",0,609.494897127
Correct,4.08600211143,613.580893993
Correct,6.10251402855,615.597404003
Correct,8.17155814171,617.66644907
Correct,10.2380311489,619.732921124
Correct,12.2894589901,621.784349918
"Completed, rwd = $0.25",12.28946805,621.784353971
"Start trial, exp rwd = $0.05",0,628.820455074
Quit,4.07036995888,632.890818119
Traveling,4.07037591934,632.89082098
"Begin block, ITI = 8",642.944988966,642.944992065
"Start trial, exp rwd = $0.25",0,642.945009947
Correct,4.06990289688,647.014914036
Correct,6.13671088219,649.081722021
Correct,8.18648982048,651.131500959
Correct,10.206043005,653.151053905
Correct,12.2723689079,655.217380047
"Completed, rwd = $0.25",12.2723758221,655.2173841
"Start trial, exp rwd = $0.15",0,665.256453991
Correct,4.10308003426,669.359527111
Correct,6.12059497833,671.377042055
Correct,8.17136788368,673.42781496
Correct,10.2222878933,675.47873497
Correct,12.2905950546,677.547043085
"Completed, rwd = $0.15",12.2906029224,677.5470469
"Start trial, exp rwd = $0.25",0,687.58354497
Correct,4.06943106651,691.652969122
Correct,6.13854908943,693.722088099
Correct,8.20557999611,695.789119005
Correct,10.2228739262,697.806411982
Correct,12.256675005,699.840214014
"Completed, rwd = $0.25",12.2566831112,699.840218067
"Start trial, exp rwd = $0.05",0,709.878094912
Correct,4.05375504494,713.931847095
Correct,6.12198209763,716.00007391
Correct,8.13854312897,718.016634941
Correct,10.1901400089,720.068232059
Correct,12.2581789494,722.136274099
"Completed, rwd = $0.05",12.2581920624,722.136281967
"Start trial, exp rwd = $0.25",0,732.19053793
Correct,4.10244512558,736.292975903
Correct,6.13740706444,738.327939034
Correct,8.20452308655,740.395055056
Correct,10.2228679657,742.413398981
Correct,12.2562530041,744.446785927
"Completed, rwd = $0.25",12.2562639713,744.446793079
"Start trial, exp rwd = $0.15",0,754.501501083
Correct,4.05221199989,758.553705931
Correct,6.1204688549,760.621963024
Correct,8.15552091599,762.657016039
Correct,10.2220108509,764.72350812
Correct,12.256633997,766.75812912
"Completed, rwd = $0.15",12.2566418648,766.758132935
"Start trial, exp rwd = $0.05",0,776.796062946
Quit,4.10210299492,780.898159027
Traveling,4.10210895538,780.898162127
"Start trial, exp rwd = $0.15",0,788.919322014
Correct,4.05299496651,792.97231102
Correct,6.12046098709,795.039776087
Correct,8.15445590019,797.073771
Correct,10.2223770618,799.141691923
Correct,12.2732110023,801.192526102
"Completed, rwd = $0.15",12.2732188702,801.192531109
"Begin block, ITI = 5",816.266285896,816.266288996
"Start trial, exp rwd = $0.05",0,816.266307116
Quit,4.08646202087,820.352771044
Traveling,4.08646798134,820.352772951
"Start trial, exp rwd = $0.05",0,825.370515108
Quit,4.08645510674,829.456962109
Traveling,4.0864610672,829.45696497
"Start trial, exp rwd = $0.25",0,834.474679947
Correct,4.08760905266,838.5622859
Correct,6.15446686745,840.629143953
Correct,8.17236804962,842.647044897
Correct,10.2055060863,844.680182934
Correct,12.2411720753,846.715848923
"Completed, rwd = $0.25",12.2411789894,846.715852976
"Start trial, exp rwd = $0.15",0,853.751706123
Correct,4.0360751152,857.787774086
Quit,6.10338807106,859.855087996
Traveling,6.1033949852,859.855091095
"Start trial, exp rwd = $0.15",0,864.873816967
Correct,4.06992912292,868.943740129
Correct,6.12232208252,870.996131897
Correct,8.18910193443,873.062911987
Correct,10.2561430931,875.1299541
Incorr_miss,12.2742030621,877.148014069
"Completed, rwd = $0.15",12.2742109299,877.148018122
"Start trial, exp rwd = $0.05",0,884.183562994
Incorr_miss,4.10262799263,888.286184072
Quit,6.1383869648,890.321943045
Traveling,6.13839387894,890.321945906
"Start trial, exp rwd = $0.15",0,895.339489937
Correct,4.03538703918,899.374871016
Correct,6.10511994362,901.444602966
Correct,8.1725871563,903.512070894
Correct,10.2245070934,905.563990116
Correct,12.2742519379,907.613735914
"Completed, rwd = $0.15",12.2742600441,907.613739967
"Start trial, exp rwd = $0.25",0,914.649398088
Correct,4.10195088387,918.751342058
Correct,6.12085700035,920.770247936
Correct,8.17214488983,922.821536064
Correct,10.2221729755,924.871563911
Correct,12.2903428078,926.939733982
"Completed, rwd = $0.25",12.2903499603,926.939738035
"Start trial, exp rwd = $0.05",0,933.976483107
Quit,4.06874895096,938.045223951
Traveling,4.06875514984,938.045227051
"Start trial, exp rwd = $0.05",0,943.063904047
Quit,4.05264592171,947.116542101
Traveling,4.05265188217,947.116544962
"Start trial, exp rwd = $0.25",0,952.135456085
Correct,4.06949305534,956.204941988
Correct,6.10420203209,958.239650965
Correct,8.1726000309,960.30804801
Correct,10.2394909859,962.374938965
Correct,12.25715518,964.392604113
"Completed, rwd = $0.25",12.2571640015,964.392609119
"Begin block, ITI = 1",976.480704069,976.48070693
"Start trial, exp rwd = $0.05",0,976.480726004
Quit,4.03642606735,980.517153978
Traveling,4.03643512726,980.517159939
"Start trial, exp rwd = $0.25",0,981.533343077
Correct,4.07058691978,985.603923082
Correct,6.0875108242,987.620846987
Correct,8.15523600578,989.68857193
Correct,10.2223389149,991.755675077
Correct,12.2731277943,993.806464911
"Completed, rwd = $0.25",12.2731359005,993.806468964
"Start trial, exp rwd = $0.05",0,996.841702938
Quit,4.10326290131,1000.94495893
Traveling,4.10327005386,1000.94496202
"Start trial, exp rwd = $0.25",0,1001.96073604
