ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
1,0.25,1,12.2734069824,17.3269071579
1,0.15,1,12.2742989063,32.636152029
1,0.05,2,4.1033949852,39.7725441456
1,0.15,3,8.13801193237,48.9268500805
1,0.25,1,12.2580440044,62.2017130852
1,0.05,2,4.06962800026,69.3047862053
1,0.05,2,4.06957006454,74.3901209831
1,0.15,2,8.2220261097,83.6289629936
1,0.05,2,4.08655118942,88.7310450077
1,0.25,1,12.2572021484,102.004055023
1,0.15,1,12.2574458122,117.296020031
1,0.25,1,12.2580451965,132.603726149
1,0.15,2,4.08751106262,139.740625143
1,0.05,2,4.10298800468,144.859632015
1,0.25,1,12.273319006,158.14915204
2,0.25,1,12.2408559322,178.460551977
2,0.15,2,4.05164003372,186.547053099
2,0.25,1,12.256234169,200.821894169
2,0.15,1,12.2738029957,217.129745007
2,0.05,2,4.05248904228,225.216638088
2,0.05,2,4.06962800026,231.304402113
2,0.05,2,4.05391693115,237.374085188
2,0.25,1,12.2750048637,251.665029049
2,0.15,1,12.2411110401,267.939048052
2,0.15,1,12.2415151596,284.247635126
2,0.05,2,4.08688902855,292.368534088
2,0.25,1,12.2570948601,306.640988111
2,0.15,1,12.2568700314,322.933880091
Total reward = $,3.1499999999999995
