ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
3,0.05,2,3.07147097588,8.13028812408
3,0.15,1,12.4072451591,23.5525789261
3,0.05,2,3.06947088242,31.6575469971
3,0.25,1,12.3909680843,47.0651409626
3,0.25,1,12.3739609718,64.4739170074
3,0.15,3,6.1707649231,75.6803300381
3,0.15,2,6.18694996834,84.8836810589
3,0.05,2,3.08502197266,90.9869151115
3,0.15,1,12.3740799427,106.378617048
3,0.25,1,12.3904190063,123.804358959
3,0.25,1,12.3732481003,141.212422132
3,0.05,2,3.08582806587,149.36788702
3,0.05,2,4.10281205177,156.487517118
1,0.05,2,3.08497691154,167.626549006
1,0.05,2,3.06863999367,171.711087942
1,0.15,2,4.12068414688,176.848323107
1,0.25,1,12.3911540508,190.254795074
1,0.15,2,3.08541989326,196.374614954
1,0.25,1,12.3743150234,209.764241934
1,0.25,1,12.3902649879,225.188494921
1,0.25,1,12.3726739883,240.596095085
1,0.05,2,3.08451485634,246.715775013
1,0.15,2,3.08595585823,250.818526983
1,0.15,2,3.06871986389,254.904042959
1,0.05,2,3.08466506004,259.004620075
1,0.05,2,3.08579397202,263.108246088
1,0.15,2,3.06829786301,267.193583012
1,0.15,2,3.06920909882,271.27881813
1,0.05,2,3.06966996193,275.3815341
1,0.25,1,12.3913710117,288.788901091
1,0.25,1,12.3905291557,304.212456942
1,0.15,2,3.08602714539,310.332001925
1,0.15,2,3.06913208961,314.41774106
Total reward = $,2.8
