ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
"[13, 2]",0.15,1,4.08428096771,9.17636799812
"[13, 2]",0.05,1,4.12978100777,21.7270991802
"[13, 2]",0.15,1,4.01455688477,29.3403670788
"[13, 2]",0.25,1,4.02900195122,37.0261061192
"[13, 2]",0.25,1,4.01586079597,44.7798001766
"[13, 2]",0.05,1,4.01168394089,53.097880125
"[13, 2]",0.05,1,4.01168608665,60.6278300285
"[13, 2]",0.15,1,4.03790807724,68.8103020191
"[13, 2]",0.05,1,4.03603577614,87.8835811615
"[13, 2]",0.25,1,4.03490591049,106.959553003
"[13, 2]",0.15,1,4.03629684448,126.053155184
"[13, 2]",0.25,1,4.03550601006,145.169435978
"[10, 5]",0.25,1,7.08196306229,172.32744813
"[10, 5]",0.05,1,7.03684091568,191.403922081
"[10, 5]",0.15,1,7.03731703758,210.480735064
"[10, 5]",0.15,1,7.0370850563,229.556655169
"[10, 5]",0.05,1,7.03246092796,248.666327
"[10, 5]",0.25,1,7.03704380989,267.759075165
"[10, 5]",0.05,1,7.03684091568,286.835386992
"[10, 5]",0.05,1,7.03753900528,305.911837101
"[13, 2]",0.05,1,4.09080004692,327.07727313
"[13, 2]",0.05,1,4.03775501251,346.198872089
"[13, 2]",0.25,1,4.03557300568,365.312416077
"[13, 2]",0.15,1,4.02692008018,384.380494118
"[13, 2]",0.15,1,4.03542304039,403.460206032
"[13, 2]",0.25,1,4.03535604477,422.536185026
"[13, 2]",0.25,1,4.03513407707,441.612374067
"[13, 2]",0.25,1,4.03502893448,460.691084146
"[2, 13]",0.15,1,15.0838141441,495.850793123
"[2, 13]",0.05,1,15.0224788189,514.907989979
"[2, 13]",0.25,1,15.0243659019,533.967751026
"[2, 13]",0.25,1,15.0281870365,553.031227112
"[2, 13]",0.05,1,15.02379179,572.087162971
"[2, 13]",0.15,1,15.0240030289,591.146447182
"[2, 13]",0.25,1,15.0234220028,610.206714153
"[2, 13]",0.05,1,15.0277869701,629.277565002
"[10, 5]",0.15,1,7.03008580208,645.377101183
"[10, 5]",0.05,1,7.02021288872,664.436830044
"[10, 5]",0.05,1,7.02902603149,683.548015118
"[10, 5]",0.15,1,7.03712821007,702.624615192
"[10, 5]",0.25,1,7.02003097534,721.684314013
"[10, 5]",0.25,1,7.03695416451,740.760429144
"[10, 5]",0.05,1,7.0369989872,759.836887121
"[10, 5]",0.05,1,7.03682804108,778.912938118
"[5, 10]",0.15,1,12.0737519264,808.062133074
"[5, 10]",0.05,1,12.0227138996,827.118016005
"[5, 10]",0.05,1,12.0224809647,846.210847139
"[5, 10]",0.15,1,12.0224730968,865.270641088
"[5, 10]",0.25,1,12.0272798538,884.334676027
"[5, 10]",0.25,1,12.0226759911,903.398301125
"[5, 10]",0.25,1,12.026761055,922.461853981
"[5, 10]",0.25,1,12.0230960846,941.509997129
"[2, 13]",0.15,1,15.0887720585,968.670962095
"[2, 13]",0.25,1,15.0211660862,987.728388071
"[2, 13]",0.05,1,15.0244441032,1006.78805113
"[2, 13]",0.25,1,15.0264070034,1025.90061116
"[2, 13]",0.05,1,15.0322170258,1044.96812296
"[2, 13]",0.15,1,15.0244629383,1064.02766013
"[2, 13]",0.05,1,15.0266418457,1083.089396
"[2, 13]",0.15,1,15.0241770744,1102.14843106
"[5, 10]",0.25,1,12.0326859951,1123.2517941
"[5, 10]",0.15,1,12.0227060318,1142.34498811
"[5, 10]",0.25,1,12.0226631165,1161.40464115
"[5, 10]",0.05,1,12.0227921009,1180.46425509
"[5, 10]",0.05,1,12.0228848457,1199.52409196
"[5, 10]",0.15,1,12.0271279812,1218.58808708
"[5, 10]",0.05,1,12.0225298405,1237.65164518
"[5, 10]",0.15,1,12.0256531239,1256.71473813
Total reward = $,10.000000000000005
