ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
"[10, 5]",0.15,1,7.03784203529,12.1005339622
"[10, 5]",0.25,1,7.03783917427,31.1945090294
"[10, 5]",0.15,1,7.05374312401,50.2868549824
"[10, 5]",0.05,2,2.35774898529,64.6841330528
"[10, 5]",0.25,1,7.05449485779,81.7708160877
"[10, 5]",0.05,2,2.62068200111,96.4304449558
"[10, 5]",0.15,1,7.05488991737,113.504214048
"[10, 5]",0.25,1,7.03783583641,132.580809116
"[10, 5]",0.05,1,7.0536210537,151.674060106
"[13, 2]",0.15,1,4.03514313698,172.884160042
"[13, 2]",0.15,1,4.05189180374,191.977811098
"[13, 2]",0.25,1,4.052328825,211.071174145
"[13, 2]",0.05,1,4.05194115639,230.164323092
"[13, 2]",0.05,1,4.05223894119,249.258015156
"[13, 2]",0.25,1,4.05199599266,268.351325989
"[13, 2]",0.25,1,4.05163288116,287.44434309
"[13, 2]",0.25,1,4.05208706856,306.537855148
"[10, 5]",0.25,1,7.03729009628,333.66872406
"[10, 5]",0.15,1,7.05425596237,352.762110949
"[10, 5]",0.15,1,7.05439519882,371.856187105
"[10, 5]",0.05,2,3.10472297668,386.999906063
"[10, 5]",0.05,2,2.32073402405,399.339487076
"[10, 5]",0.25,1,7.05399894714,416.412181139
"[10, 5]",0.25,1,7.03796005249,435.489769936
"[10, 5]",0.15,1,7.05335307121,454.582056046
"[10, 5]",0.05,1,7.05375480652,473.675615072
"[2, 13]",0.15,1,15.0248990059,505.792891979
"[2, 13]",0.25,1,15.0408411026,524.868711948
"[2, 13]",0.05,2,2.30412387848,531.208688021
"[2, 13]",0.05,2,2.42088985443,535.644240141
"[2, 13]",0.15,2,2.65420484543,540.313780069
"[2, 13]",0.25,1,15.0414018631,557.369125128
"[2, 13]",0.15,2,6.60731601715,568.011856079
"[2, 13]",0.25,1,15.0414879322,585.067197084
"[2, 13]",0.25,1,15.0414431095,604.143944979
"[2, 13]",0.05,2,2.33793091774,610.517269135
"[2, 13]",0.05,2,2.42126893997,614.952573061
"[2, 13]",0.15,2,2.38835000992,619.355798006
"[2, 13]",0.15,2,2.38495087624,623.754343987
"[2, 13]",0.15,2,2.43869304657,628.210535049
"[2, 13]",0.25,1,15.0420219898,645.266222954
"[5, 10]",0.15,1,12.0235159397,666.376734972
"[5, 10]",0.25,1,12.0238170624,685.436465025
"[5, 10]",0.05,2,2.25541496277,694.728708982
"[5, 10]",0.25,1,12.039937973,711.783596039
"[5, 10]",0.15,1,12.0389428139,730.860314131
"[5, 10]",0.05,2,2.50555300713,740.40258503
"[5, 10]",0.05,1,12.0399169922,757.457522154
"[5, 10]",0.15,2,2.46935606003,767.046230078
"[5, 10]",0.15,1,12.0396118164,784.105049133
"[5, 10]",0.25,1,12.0402920246,803.181607962
"[13, 2]",0.05,1,4.03553915024,819.30609107
"[13, 2]",0.05,1,4.05216598511,838.399186134
"[13, 2]",0.15,1,4.05356383324,857.493463039
"[13, 2]",0.15,1,4.03498196602,876.568503141
"[13, 2]",0.25,1,4.05233097076,895.662032127
"[13, 2]",0.25,1,4.05241298676,914.755249977
"[13, 2]",0.15,1,4.05200910568,933.88171196
"[13, 2]",0.25,1,4.05213999748,952.974920988
"[2, 13]",0.05,2,2.40128493309,975.470190048
"[2, 13]",0.15,2,2.42095685005,979.908082962
"[2, 13]",0.25,1,15.041779995,996.964933157
"[2, 13]",0.25,1,15.0413730145,1016.04073
"[2, 13]",0.05,2,2.33727884293,1022.41361308
"[2, 13]",0.15,2,2.72133398056,1027.14957213
"[2, 13]",0.15,2,2.78809213638,1031.95210409
"[2, 13]",0.05,2,2.45398497581,1036.42051601
"[2, 13]",0.25,1,15.041875124,1053.47735405
"[2, 13]",0.15,2,2.3879468441,1059.89989805
"[2, 13]",0.25,1,15.0413470268,1076.95539403
"[2, 13]",0.05,2,2.42120909691,1083.41197014
"[2, 13]",0.15,2,2.50381302834,1087.93023396
"[2, 13]",0.05,2,2.40125107765,1092.34663606
"[2, 13]",0.25,1,15.0408051014,1109.40508509
"[2, 13]",0.15,2,2.35451698303,1115.79543304
"[2, 13]",0.25,1,15.0416650772,1132.85134602
"[5, 10]",0.25,1,12.0404880047,1153.97905302
"[5, 10]",0.05,2,2.83491611481,1163.85024405
"[5, 10]",0.05,2,2.30164599419,1171.17125797
"[5, 10]",0.15,1,12.0396559238,1188.23018193
"[5, 10]",0.15,2,2.77084708214,1198.05435109
"[5, 10]",0.25,1,12.0390021801,1215.11029601
"[5, 10]",0.25,1,12.0390369892,1234.18608499
"[5, 10]",0.15,1,12.0391459465,1253.26265311
"[5, 10]",0.05,2,2.32102894783,1262.62179899
"[5, 10]",0.05,2,2.45496606827,1270.09134603
"[5, 10]",0.25,1,12.0402948856,1287.14776611
Total reward = $,10.650000000000002
