ITI,Expected Reward,Decision (1=complete; 2=quit; 3=failed),RT,Total Time
"[5, 10]",0.25,1,12.0787289143,17.1641139984
"[5, 10]",0.05,1,12.0394098759,36.2404940128
"[5, 10]",0.15,1,12.0227320194,55.3000659943
"[5, 10]",0.25,1,12.0227971077,74.359639883
"[5, 10]",0.05,1,12.0223031044,93.4193248749
"[5, 10]",0.15,1,12.0228550434,112.478946924
"[5, 10]",0.25,1,12.0228490829,131.538509846
"[5, 10]",0.25,1,12.022810936,150.598092794
"[10, 5]",0.15,1,7.08144617081,169.751783848
"[10, 5]",0.25,1,7.03696298599,188.828086853
"[10, 5]",0.05,1,7.03676104546,207.920921803
"[10, 5]",0.05,1,7.03693199158,226.997300863
"[10, 5]",0.25,1,7.03694009781,246.073586941
"[10, 5]",0.15,1,7.03738212585,265.150434971
"[10, 5]",0.25,1,7.01996207237,284.209446907
"[10, 5]",0.05,1,7.01342082024,296.587648869
"[10, 5]",0.25,1,7.01543498039,306.828928947
"[10, 5]",0.05,1,7.01433396339,318.175669909
"[5, 10]",0.05,1,12.0168180466,338.672060013
"[5, 10]",0.15,1,12.0135979652,353.349627972
"[5, 10]",0.05,1,12.0206639767,368.477347851
"[5, 10]",0.15,1,12.0131781101,383.086844921
"[5, 10]",0.25,1,12.0132479668,397.6971488
"[5, 10]",0.25,1,12.0248689651,412.445658922
"[5, 10]",0.15,1,12.0129628181,427.131086826
"[5, 10]",0.05,1,12.0167639256,442.474153996
"[5, 10]",0.25,1,12.0127539635,457.123471975
"[5, 10]",0.25,1,12.0147140026,471.729246855
"[5, 10]",0.15,1,12.0135838985,488.084091902
"[2, 13]",0.25,1,15.0178630352,511.078885794
"[2, 13]",0.15,1,15.0139360428,528.402730942
"[2, 13]",0.05,1,15.0120429993,545.656884909
"[2, 13]",0.15,1,15.0139670372,562.945678949
"[2, 13]",0.25,1,15.0108590126,580.208561897
"[2, 13]",0.05,1,15.0139529705,597.5195539
"[2, 13]",0.25,1,15.0227499008,614.788789988
"[2, 13]",0.15,1,15.0130879879,632.156670809
"[2, 13]",0.25,1,15.013245821,649.466959
"[2, 13]",0.25,1,15.0120301247,671.79795599
"[2, 13]",0.15,1,15.0128657818,689.13514781
"[2, 13]",0.05,1,15.0180170536,706.464457989
"[2, 13]",0.15,1,15.0270819664,723.948323965
"[2, 13]",0.05,1,15.0109848976,741.279661894
"[2, 13]",0.25,1,15.0115890503,758.535219908
"[2, 13]",0.15,1,15.0131340027,775.857986927
"[2, 13]",0.25,1,15.0180158615,793.191274881
"[2, 13]",0.25,1,15.0301430225,812.256790876
"[10, 5]",0.15,1,7.08115506172,828.408795834
"[10, 5]",0.25,1,7.03722810745,847.485488892
"[10, 5]",0.05,1,7.0368771553,866.561513901
"[10, 5]",0.25,1,7.0370221138,885.63772893
"[10, 5]",0.15,1,7.01382899284,900.035761833
"[10, 5]",0.05,1,7.01278805733,910.443411827
"[10, 5]",0.15,1,7.01143407822,920.699102879
"[10, 5]",0.05,1,7.01114320755,930.95960784
"[10, 5]",0.05,1,7.01309013367,941.287328005
"[10, 5]",0.15,1,7.02430295944,951.669792891
"[10, 5]",0.25,1,7.0128698349,962.053598881
"[10, 5]",0.25,1,7.0676779747,972.430028915
"[13, 2]",0.25,1,4.02148294449,984.780727863
"[13, 2]",0.25,1,4.06698417664,994.121651888
"[13, 2]",0.15,1,4.02394509315,1002.61591196
"[13, 2]",0.05,1,4.01750707626,1010.65499783
"[13, 2]",0.05,1,4.01335597038,1018.257303
"[13, 2]",0.15,1,4.01207995415,1025.81515098
"[13, 2]",0.15,1,4.01482796669,1033.60018086
"[13, 2]",0.15,1,4.01596283913,1041.43005681
"[13, 2]",0.05,1,4.01471710205,1049.43250299
"[13, 2]",0.05,1,4.0162858963,1057.03816581
"[13, 2]",0.25,1,4.02270102501,1070.5069828
"[13, 2]",0.25,1,4.0116121769,1078.19412494
"[13, 2]",0.15,1,4.01755189896,1085.82380891
"[13, 2]",0.25,1,4.02584600449,1094.0265398
"[13, 2]",0.05,1,4.01237487793,1101.56903791
"[13, 2]",0.25,1,4.01282215118,1109.15964484
"[13, 2]",0.05,1,4.01199007034,1116.70979595
"[13, 2]",0.15,1,4.01230788231,1124.27953696
"[13, 2]",0.05,1,4.01161599159,1131.80719185
"[13, 2]",0.15,1,4.01275491714,1144.37549591
"[13, 2]",0.25,1,4.01259589195,1151.91088295
"[13, 2]",0.05,1,4.01156902313,1159.4538548
"[13, 2]",0.25,1,4.01173400879,1166.98372483
"[13, 2]",0.05,1,4.0120549202,1174.52085781
"[13, 2]",0.15,1,4.01221013069,1182.06950903
"[13, 2]",0.05,1,4.01150798798,1189.60994792
"[13, 2]",0.25,1,4.01225209236,1197.15646601
"[13, 2]",0.25,1,4.01217603683,1204.69452381
"[13, 2]",0.05,1,4.01071405411,1212.22475982
"[13, 2]",0.15,1,4.01233100891,1219.76253486
"[13, 2]",0.15,1,4.01312589645,1227.31118488
"[13, 2]",0.25,1,4.01300787926,1234.91772985
"[13, 2]",0.25,1,4.01367497444,1242.48270297
"[13, 2]",0.15,1,4.01222085953,1250.20769191
"[13, 2]",0.15,1,4.01518416405,1257.74306297
"[13, 2]",0.05,1,4.01889514923,1265.44132495
"[13, 2]",0.05,1,4.01268005371,1273.02274084
"[13, 2]",0.25,1,4.01332902908,1280.66941094
"[13, 2]",0.25,1,4.01231718063,1288.31712103
Total reward = $,15.500000000000018
