ITI,Expected_Reward,Decision,RT,Total_Time
13_2,0.15,1,4.035254002,9.097615004
13_2,0.05,1,4.052133083,28.20773411
13_2,0.05,1,4.052610874,47.30101013
13_2,0.25,1,4.052118063,66.39408302
13_2,0.25,1,4.051733971,85.48691106
13_2,0.15,1,4.052144051,104.580543
13_2,0.25,1,4.053344965,123.6747141
13_2,0.25,1,4.052616119,142.767622
2_13,0.05,1,15.02502513,177.88586
2_13,0.05,1,15.04187799,196.9790859
2_13,0.25,1,15.04184318,216.0555451
2_13,0.15,1,15.04130316,235.131485
2_13,0.15,1,15.04137301,254.207859
2_13,0.25,1,15.04146814,273.284512
2_13,0.05,1,15.04035401,292.3609869
2_13,0.25,1,15.04145384,311.4541371
10_5,0.05,1,7.051946878,327.5958221
10_5,0.15,1,7.053927183,346.6888421
10_5,0.05,1,7.053326845,365.7819061
10_5,0.25,1,7.05371213,384.875325
10_5,0.15,1,7.054162979,403.9686179
10_5,0.25,1,7.053253174,423.0612121
10_5,0.15,1,7.053678989,442.154707
10_5,0.25,1,7.052860022,461.246542
5_10,0.25,1,12.03783703,490.3795691
5_10,0.25,1,12.05658793,509.472708
5_10,0.15,1,12.05561304,528.565587
5_10,0.05,1,12.05645704,547.6592371
5_10,0.15,1,12.03972912,566.735549
5_10,0.05,1,12.05646515,585.828568
5_10,0.15,1,12.0558331,604.921617
5_10,0.05,1,12.05562496,624.0152011
10_5,0.15,1,7.051661968,643.1581149
10_5,0.25,1,7.05376482,662.2515681
10_5,0.15,1,7.037781,681.3280361
10_5,0.25,1,7.053597927,700.4209349
10_5,0.05,1,7.053792953,719.514291
10_5,0.05,1,7.054045916,738.6074891
10_5,0.05,1,7.053349018,757.700187
10_5,0.15,1,7.053253889,776.7933891
5_10,0.25,1,12.05419397,805.94204
5_10,0.15,1,12.08859587,825.0680649
5_10,0.15,1,12.03940797,844.1449261
5_10,0.05,1,12.05629706,863.238189
5_10,0.05,1,12.03985906,882.314688
5_10,0.25,1,12.05661798,901.4078891
5_10,0.05,1,12.039361,920.4842961
5_10,0.25,1,12.05593896,939.5772021
13_2,0.25,1,4.050328016,955.7188091
13_2,0.25,1,4.051109076,974.812299
13_2,0.15,1,4.052469015,993.905571
13_2,0.05,1,4.051638842,1012.998397
13_2,0.05,1,4.052083969,1032.091826
13_2,0.15,1,4.053665876,1051.1862
13_2,0.25,1,4.05189085,1070.294583
13_2,0.05,1,4.051990032,1089.387948
2_13,0.25,1,15.02405,1124.50578
2_13,0.05,1,15.04084301,1143.582448
2_13,0.25,1,15.04077911,1162.65881
2_13,0.15,1,15.04070902,1181.735234
2_13,0.15,1,15.04087901,1200.811794
2_13,0.05,1,15.04066205,1219.888228
2_13,0.05,1,15.04190207,1238.965596
2_13,0.15,1,15.04178095,1258.042165
